Decile,min_score,max_score,Bad,Good,Total
1,0.9994213581085205,0.9998488426208496,1598.0,0.0,1598.0
2,0.9989450573921204,0.9994211196899414,1597.0,0.0,1597.0
3,0.9978991746902466,0.9989449381828308,1598.0,0.0,1598.0
4,0.9935752749443054,0.9978973865509033,1597.0,0.0,1597.0
5,0.5296683311462402,0.9935723543167114,1553.0,45.0,1598.0
6,0.011735079810023308,0.5295211672782898,65.0,1532.0,1597.0
7,0.0031708134338259697,0.011676368303596973,0.0,1598.0,1598.0
8,0.0012539373710751534,0.003167160553857684,0.0,1597.0,1597.0
9,0.0005561201251111925,0.001253786962479353,0.0,1598.0,1598.0
10,0.00012134803546359763,0.0005560274003073573,0.0,1598.0,1598.0
